AirportFrom,AirportTo,DelayRate_Route,FreqRate_Route
ABE,ATL,0.22580645161290322,31
ABE,CLT,0.06451612903225806,31
ABE,DTW,0.47058823529411764,85
ABE,FLL,0.23529411764705882,17
ABE,MCO,0.2903225806451613,31
ABE,ORD,0.32653061224489793,147
ABI,DFW,0.15165876777251186,211
ABQ,ATL,0.29333333333333333,75
ABQ,BWI,0.6153846153846154,39
ABQ,DAL,0.6566523605150214,233
ABQ,DEN,0.5133928571428571,224
ABQ,DFW,0.11934156378600823,243
ABQ,ELP,0.6,55
ABQ,HOU,0.7209302325581395,86
ABQ,IAD,0.22580645161290322,31
ABQ,IAH,0.2737430167597765,179
ABQ,LAS,0.6474358974358975,156
ABQ,LAX,0.53,200
ABQ,LBB,0.7419354838709677,31
ABQ,MAF,0.5483870967741935,31
ABQ,MCI,0.8157894736842105,38
ABQ,MCO,0.78125,32
ABQ,MDW,0.5,62
ABQ,MSP,0.5227272727272727,44
ABQ,OAK,0.6781609195402298,87
ABQ,ORD,0.4032258064516129,62
ABQ,PDX,0.7741935483870968,31
ABQ,PHX,0.4106280193236715,414
ABQ,SAN,0.8305084745762712,59
ABQ,SEA,0.7704918032786885,61
ABQ,SFO,0.0967741935483871,31
ABQ,SLC,0.42574257425742573,202
ABQ,STL,0.6129032258064516,31
ABQ,TUS,0.6774193548387096,62
ABR,MSP,0.5,2
ABY,ATL,0.25287356321839083,87
ACT,DFW,0.2833333333333333,60
ACV,CEC,0.42857142857142855,28
ACV,SFO,0.596244131455399,213
ACV,SMF,0.32727272727272727,55
ACY,ATL,0.25806451612903225,62
ADK,ANC,0.5555555555555556,9
ADQ,ANC,0.32142857142857145,56
AEX,ATL,0.2857142857142857,133
AEX,DFW,0.22826086956521738,92
AEX,IAH,0.2786885245901639,61
AGS,ATL,0.367816091954023,261
AGS,DFW,0.32786885245901637,61
ALB,ATL,0.375,88
ALB,BWI,0.5753424657534246,146
ALB,CLE,0.33980582524271846,103
ALB,CLT,0.35,60
ALB,DTW,0.41228070175438597,114
ALB,FLL,0.2903225806451613,31
ALB,IAD,0.29545454545454547,88
ALB,JFK,0.0967741935483871,31
ALB,LAS,0.7741935483870968,31
ALB,MCO,0.49333333333333335,75
